MapActivityId,Country,Date,Volume,ImpactTag
CAP00001,"USA, Canada",01-01-2021,0,Holiday: New Year's Day
CAP00001,"USA, Canada",01-02-2021,289,
CAP00001,"USA, Canada",01-03-2021,316,
CAP00001,"USA, Canada",01-04-2021,345,
CAP00001,"USA, Canada",01-05-2021,303,
CAP00001,"USA, Canada",01-06-2021,309,
CAP00001,"USA, Canada",01-07-2021,363,
CAP00001,"USA, Canada",01-08-2021,346,
CAP00001,"USA, Canada",01-09-2021,318,
CAP00001,"USA, Canada",01-10-2021,351,
CAP00001,"USA, Canada",01-11-2021,328,
CAP00001,"USA, Canada",01-12-2021,333,
CAP00001,"USA, Canada",01-13-2021,356,
CAP00001,"USA, Canada",01-14-2021,302,
CAP00001,"USA, Canada",01-15-2021,0,Holiday: Martin Luther King Jr. Day
CAP00001,"USA, Canada",01-16-2021,346,
CAP00001,"USA, Canada",01-17-2021,338,
CAP00001,"USA, Canada",01-18-2021,377,
CAP00001,"USA, Canada",01-19-2021,347,
CAP00001,"USA, Canada",01-20-2021,336,
CAP00001,"USA, Canada",01-21-2021,417,
CAP00001,"USA, Canada",01-22-2021,373,
CAP00001,"USA, Canada",01-23-2021,383,
CAP00001,"USA, Canada",01-24-2021,345,
CAP00001,"USA, Canada",01-25-2021,370,
CAP00001,"USA, Canada",01-26-2021,388,
CAP00001,"USA, Canada",01-27-2021,355,
CAP00001,"USA, Canada",01-28-2021,397,
CAP00001,"USA, Canada",01-29-2021,371,
CAP00001,"USA, Canada",01-30-2021,380,
CAP00001,"USA, Canada",01-31-2021,371,
CAP00001,"USA, Canada",02-01-2021,437,
CAP00001,"USA, Canada",02-02-2021,386,
CAP00001,"USA, Canada",02-03-2021,357,
CAP00001,"USA, Canada",02-04-2021,407,
CAP00001,"USA, Canada",02-05-2021,351,
CAP00001,"USA, Canada",02-06-2021,387,
CAP00001,"USA, Canada",02-07-2021,327,
CAP00001,"USA, Canada",02-08-2021,342,
CAP00001,"USA, Canada",02-09-2021,382,
CAP00001,"USA, Canada",02-10-2021,394,
CAP00001,"USA, Canada",02-11-2021,377,
CAP00001,"USA, Canada",02-12-2021,367,
CAP00001,"USA, Canada",02-13-2021,360,
CAP00001,"USA, Canada",02-14-2021,325,
CAP00001,"USA, Canada",02-15-2021,0,Holiday: Presidents' Day
CAP00001,"USA, Canada",02-16-2021,348,
CAP00001,"USA, Canada",02-17-2021,387,
CAP00001,"USA, Canada",02-18-2021,365,
CAP00001,"USA, Canada",02-19-2021,306,
CAP00001,"USA, Canada",02-20-2021,360,
CAP00001,"USA, Canada",02-21-2021,338,
CAP00001,"USA, Canada",02-22-2021,328,
CAP00001,"USA, Canada",02-23-2021,361,
CAP00001,"USA, Canada",02-24-2021,370,
CAP00001,"USA, Canada",02-25-2021,366,
CAP00001,"USA, Canada",02-26-2021,316,
CAP00001,"USA, Canada",02-27-2021,329,
CAP00001,"USA, Canada",02-28-2021,345,
CAP00001,"USA, Canada",03-01-2021,361,
CAP00001,"USA, Canada",03-02-2021,321,
CAP00001,"USA, Canada",03-03-2021,327,
CAP00001,"USA, Canada",03-04-2021,302,
CAP00001,"USA, Canada",03-05-2021,299,
CAP00001,"USA, Canada",03-06-2021,353,
CAP00001,"USA, Canada",03-07-2021,368,
CAP00001,"USA, Canada",03-08-2021,330,
CAP00001,"USA, Canada",03-09-2021,360,
CAP00001,"USA, Canada",03-10-2021,343,
CAP00001,"USA, Canada",03-11-2021,316,
CAP00001,"USA, Canada",03-12-2021,345,
CAP00001,"USA, Canada",03-13-2021,378,
CAP00001,"USA, Canada",03-14-2021,337,
CAP00001,"USA, Canada",03-15-2021,382,
CAP00001,"USA, Canada",03-16-2021,271,
CAP00001,"USA, Canada",03-17-2021,367,
CAP00001,"USA, Canada",03-18-2021,349,
CAP00001,"USA, Canada",03-19-2021,342,
CAP00001,"USA, Canada",03-20-2021,355,
CAP00001,"USA, Canada",03-21-2021,302,
CAP00001,"USA, Canada",03-22-2021,352,
CAP00001,"USA, Canada",03-23-2021,372,
CAP00001,"USA, Canada",03-24-2021,405,
CAP00001,"USA, Canada",03-25-2021,355,
CAP00001,"USA, Canada",03-26-2021,351,
CAP00001,"USA, Canada",03-27-2021,363,
CAP00001,"USA, Canada",03-28-2021,405,
CAP00001,"USA, Canada",03-29-2021,393,
CAP00001,"USA, Canada",03-30-2021,373,
CAP00001,"USA, Canada",03-31-2021,405,
CAP00001,"USA, Canada",04-01-2021,398,
CAP00001,"USA, Canada",04-02-2021,425,
CAP00001,"USA, Canada",04-03-2021,384,
CAP00001,"USA, Canada",04-04-2021,397,
CAP00001,"USA, Canada",04-05-2021,400,
CAP00001,"USA, Canada",04-06-2021,374,
CAP00001,"USA, Canada",04-07-2021,425,
CAP00001,"USA, Canada",04-08-2021,427,
CAP00001,"USA, Canada",04-09-2021,423,
CAP00001,"USA, Canada",04-10-2021,420,
CAP00001,"USA, Canada",04-11-2021,391,
CAP00001,"USA, Canada",04-12-2021,420,
CAP00001,"USA, Canada",04-13-2021,424,
CAP00001,"USA, Canada",04-14-2021,414,
CAP00001,"USA, Canada",04-15-2021,433,
CAP00001,"USA, Canada",04-16-2021,450,
CAP00001,"USA, Canada",04-17-2021,492,
CAP00001,"USA, Canada",04-18-2021,446,
CAP00001,"USA, Canada",04-19-2021,450,
CAP00001,"USA, Canada",04-20-2021,441,
CAP00001,"USA, Canada",04-21-2021,391,
CAP00001,"USA, Canada",04-22-2021,442,
CAP00001,"USA, Canada",04-23-2021,444,
CAP00001,"USA, Canada",04-24-2021,508,
CAP00001,"USA, Canada",04-25-2021,436,
CAP00001,"USA, Canada",04-26-2021,132,System Down: 04-26-2021
CAP00001,"USA, Canada",04-27-2021,437,
CAP00001,"USA, Canada",04-28-2021,405,
CAP00001,"USA, Canada",04-29-2021,465,
CAP00001,"USA, Canada",04-30-2021,452,
CAP00001,"USA, Canada",05-01-2021,1253,
CAP00001,"USA, Canada",05-02-2021,1118,
CAP00001,"USA, Canada",05-03-2021,1282,
